Raiz_Planta,Tipo_Vocabulario,Folios_Origen_Botanica,Apariciones_en_Recetas,Folios_Destino_Recetas,Etiquetas_Dominantes_en_Recetas
U1A3,Exclusiva (Nombre Propio),f1r,2,f113r (x1) | f116r (x1),C1:1 | B2:1
K1J1A3,Comun (Generica),f17r | f1r | f23v | f24v | f28v | f35r | f8v,44,f111v (x12) | f108v (x6) | f111r (x6) | f89r (x3) | f113r (x3) | f88r (x2) | f103r (x2) | f112v (x2) | f113v (x2) | f116r (x2) | f89v (x1) | f104r (x1) | f106r (x1) | f108r (x1),C1:19 | B2:18 | B3:5
A1B1A3,Comun (Generica),f1r | f32v | f52v,46,f105r (x6) | f105v (x6) | f107v (x4) | f104v (x3) | f106v (x3) | f114r (x3) | f93r (x2) | f104r (x2) | f87r (x1) | f88v (x1) | f89v (x1) | f95r (x1) | f95v (x1) | f96v (x1) | f99v (x1) | f101v (x1) | f102r (x1) | f102v (x1) | f106r (x1) | f108v (x1) | f111r (x1) | f113v (x1) | f114v (x1) | f115v (x1) | f116r (x1),G1:17 | C1:12 | F1:9
B1K1A3,Exclusiva (Nombre Propio),f1r,0,NINGUNO,N/A
K1A1,Comun (Generica),f10r | f10v | f15v | f16r | f17v | f18r | f18v | f19r | f19v | f1r | f20r | f21r | f22r | f22v | f24r | f24v | f25r | f27r | f28v | f29r | f2v | f30v | f32r | f35v | f37v | f39v | f3r | f45v | f49r | f49v | f4r | f4v | f52r | f52v | f54v | f56r | f56v | f5v | f6v | f8r | f8v | f9r | f9v,187,f113r (x14) | f89r (x13) | f115r (x10) | f100r (x9) | f88r (x8) | f89v (x8) | f107v (x8) | f100v (x7) | f101r (x7) | f101v (x7) | f102v (x7) | f112v (x7) | f102r (x6) | f96r (x5) | f104r (x5) | f104v (x5) | f106v (x5) | f114r (x5) | f99r (x4) | f112r (x4) | f87r (x3) | f90r (x3) | f93r (x3) | f95r (x3) | f107r (x3) | f115v (x3) | f90v (x2) | f99v (x2) | f106r (x2) | f108v (x2) | f111r (x2) | f114v (x2) | f116r (x2) | f87v (x1) | f88v (x1) | f93v (x1) | f94r (x1) | f103r (x1) | f103v (x1) | f105r (x1) | f105v (x1) | f108r (x1) | f111v (x1) | f113v (x1),B2:110 | C1:46 | C2:23
K1A3,Comun (Generica),f1v | f23r | f24r | f34r | f35r | f35v | f42r | f47v | f55r | f6v,74,f107r (x7) | f111v (x7) | f113r (x7) | f103r (x6) | f104r (x5) | f111r (x5) | f106v (x4) | f116r (x4) | f103v (x3) | f106r (x3) | f108v (x3) | f112v (x3) | f107v (x2) | f108r (x2) | f114r (x2) | f115r (x2) | f94v (x1) | f95r (x1) | f95v (x1) | f96v (x1) | f104v (x1) | f112r (x1) | f113v (x1) | f114v (x1) | f115v (x1),C1:31 | B2:23 | G1:8
L1A1,Comun (Generica),f10r | f11r | f15r | f18r | f18v | f1v | f23v | f28r | f29r | f29v | f2r | f32v | f34v | f36r | f37r | f42r | f45r | f46r | f4r | f4v | f52r | f52v | f8v,66,f93r (x4) | f100r (x4) | f104v (x4) | f106r (x4) | f108r (x4) | f113r (x4) | f87r (x3) | f95v (x3) | f101r (x3) | f89r (x2) | f89v (x2) | f99r (x2) | f103r (x2) | f103v (x2) | f105r (x2) | f108v (x2) | f114v (x2) | f115v (x2) | f88v (x1) | f90v (x1) | f93v (x1) | f94r (x1) | f95r (x1) | f99v (x1) | f101v (x1) | f102v (x1) | f106v (x1) | f107r (x1) | f107v (x1) | f111r (x1) | f112r (x1) | f114r (x1) | f115r (x1),B2:38 | C1:14 | B1:5
Q2A1A1,Exclusiva (Nombre Propio),f1v,0,NINGUNO,N/A
A1Q2A1K1A1,Exclusiva (Nombre Propio),f2r,0,NINGUNO,N/A
K1J1A1P1K1A1,Exclusiva (Nombre Propio),f2v,0,NINGUNO,N/A
Q1K1A1,Comun (Generica),f17v | f18r | f19v | f25v | f29v | f2v | f47r | f6v | f7v | f8v,6,f93r (x2) | f87v (x1) | f90r (x1) | f113r (x1) | f115r (x1),C1:3 | B2:3
B1A1,Comun (Generica),f13r | f15r | f18v | f22v | f23v | f27r | f2v | f31v | f37v | f43r | f45r | f47r | f54r,51,f102r (x10) | f89r (x5) | f101r (x5) | f102v (x5) | f93r (x4) | f105v (x3) | f114r (x3) | f89v (x2) | f113r (x2) | f88r (x1) | f90r (x1) | f94r (x1) | f99r (x1) | f99v (x1) | f104v (x1) | f105r (x1) | f106r (x1) | f111r (x1) | f115r (x1) | f115v (x1) | f116r (x1),B2:28 | C1:14 | G1:3
