Receta,Ingrediente,Categoria,Ingrediente_Normalizado
Theriaca Andromachii (Amsterdam 1698 OCR subset),Hypocystidis,ACTIVO,Hypocistis
Theriaca Andromachii (Amsterdam 1698 OCR subset),Acaciae,ACTIVO,Acacia
Theriaca Andromachii (Amsterdam 1698 OCR subset),Bituminis Judaici,ACTIVO,Bitumen judaicum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Castorei,ACTIVO,Castoreum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Trochisci Viperini,ACTIVO,Trochisci de vipera
Theriaca Andromachii (Amsterdam 1698 OCR subset),Trochisci Scillitici,ACTIVO,Squilla
Theriaca Andromachii (Amsterdam 1698 OCR subset),Spicae nardi Indicae,ACTIVO,Nardus indica
Theriaca Andromachii (Amsterdam 1698 OCR subset),Spicae nardi Celticae,ACTIVO,Nardus celtica
Theriaca Andromachii (Amsterdam 1698 OCR subset),Acori veri,ACTIVO,Acorus calamus
Theriaca Andromachii (Amsterdam 1698 OCR subset),Phu sive valerianae,ACTIVO,Phu
Theriaca Andromachii (Amsterdam 1698 OCR subset),Aristolochiae tenuis,ACTIVO,Aristolochia longa
Theriaca Andromachii (Amsterdam 1698 OCR subset),Thlaspios,ACTIVO,Thlaspi
Theriaca Andromachii (Amsterdam 1698 OCR subset),Hyperici,ACTIVO,Hypericum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Chalciditis,ACTIVO,Chalciditis
Theriaca Andromachii (Amsterdam 1698 OCR subset),Cinamomi,ESPECIA,Cinnamomum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Cassiae ligneae,ESPECIA,Casia
Theriaca Andromachii (Amsterdam 1698 OCR subset),Piperis albi,ESPECIA,Piper album
Theriaca Andromachii (Amsterdam 1698 OCR subset),Piperis nigri,ESPECIA,Piper nigrum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Piperis longi,ESPECIA,Piper longum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Croci Britannici,ESPECIA,Crocus
Theriaca Andromachii (Amsterdam 1698 OCR subset),Myrrhae,ESPECIA,Myrrha
Theriaca Andromachii (Amsterdam 1698 OCR subset),Cardamomi minoris,ESPECIA,Cardamomum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Mellis Narbonensis,BASE,Mel despumatum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Vinum Canarini,BASE,Vinum
Theriaca Andromachii (Amsterdam 1698 OCR subset),Terebinthina,BASE,Terebinthina
Mithridatium Damocratis (Amsterdam 1701),Acaciae,ACTIVO,Acacia
Mithridatium Damocratis (Amsterdam 1701),Succi Hypocystidis,ACTIVO,Hypocistis
Mithridatium Damocratis (Amsterdam 1701),Sem. Thlaspios,ACTIVO,Thlaspi
Mithridatium Damocratis (Amsterdam 1701),Castorei,ACTIVO,Castoreum
Mithridatium Damocratis (Amsterdam 1701),Galbani,ACTIVO,Galbanum
Mithridatium Damocratis (Amsterdam 1701),Opopanacis,ACTIVO,Opopanax
Mithridatium Damocratis (Amsterdam 1701),Bdellii,ACTIVO,Bdellium
Mithridatium Damocratis (Amsterdam 1701),Rad. Gentianae,ACTIVO,Gentiana
Mithridatium Damocratis (Amsterdam 1701),Rad. Acori veri,ACTIVO,Acorus calamus
Mithridatium Damocratis (Amsterdam 1701),Phu sive Valerianae,ACTIVO,Phu
Mithridatium Damocratis (Amsterdam 1701),Sagapeni,ACTIVO,Sagapenum
Mithridatium Damocratis (Amsterdam 1701),Seminis Hyperici,ACTIVO,Hypericum
Mithridatium Damocratis (Amsterdam 1701),Croci Britannici,ESPECIA,Crocus
Mithridatium Damocratis (Amsterdam 1701),Myrrhae,ESPECIA,Myrrha
Mithridatium Damocratis (Amsterdam 1701),Zingiberis,ESPECIA,Zingiber
Mithridatium Damocratis (Amsterdam 1701),Cinamomi,ESPECIA,Cinnamomum
Mithridatium Damocratis (Amsterdam 1701),Piperis longi,ESPECIA,Piper longum
Mithridatium Damocratis (Amsterdam 1701),Cardamomi minoris,ESPECIA,Cardamomum
Mithridatium Damocratis (Amsterdam 1701),Rosarum rubrarum,ESPECIA,Rosa
Mithridatium Damocratis (Amsterdam 1701),Mellis Narbonensis,BASE,Mel despumatum
Mithridatium Damocratis (Amsterdam 1701),Vinum Canarini,BASE,Vinum
Philonium Mesuae (Amsterdam 1701),Seminis Hyoscyami albi,ACTIVO,Hyoscyamus
Philonium Mesuae (Amsterdam 1701),Opii preparati,ACTIVO,Opium
Philonium Mesuae (Amsterdam 1701),Rad. Pyrethri,ACTIVO,Pyrethrum
Philonium Mesuae (Amsterdam 1701),Spicae Nardi Indicae,ACTIVO,Nardus indica
Philonium Mesuae (Amsterdam 1701),Castorei,ACTIVO,Castoreum
Philonium Mesuae (Amsterdam 1701),Piperis albi,ESPECIA,Piper album
Philonium Mesuae (Amsterdam 1701),Croci,ESPECIA,Crocus
Philonium Mesuae (Amsterdam 1701),Mellis despumati,BASE,Mel despumatum
Populeum (Amsterdam 1701),Oculorum seu Gemmarum Populi recentium,ACTIVO,Populus
Populeum (Amsterdam 1701),Herb. Bardanae,ACTIVO,Bardana
Populeum (Amsterdam 1701),Hyoscyami,ACTIVO,Hyoscyamus
Populeum (Amsterdam 1701),Lactucae,ACTIVO,Lactuca
Populeum (Amsterdam 1701),Mandragorae,ACTIVO,Mandragora
Populeum (Amsterdam 1701),Papaveris nigri,ACTIVO,Papaver nigrum
Populeum (Amsterdam 1701),Sempervivi majoris,ACTIVO,Sempervivum major
Populeum (Amsterdam 1701),Sempervivi minoris,ACTIVO,Sempervivum minor
Populeum (Amsterdam 1701),Solani,ACTIVO,Solanum
Populeum (Amsterdam 1701),Violarum,ESPECIA,Viola
Populeum (Amsterdam 1701),Axungiae porcinae recentis insulsae,BASE,Axungia porci
