Nombre_Receta,Fuente,Tipo,Total_Ingredientes,N_Activos_Raros,N_Especias,N_Bases,Ratio_Activos_%,Ratio_Especias_%,Ratio_Bases_%,Lista_Activos,Lista_Especias,Lista_Bases
Theriac Magna (Triaca de Andromachus),"Galeno / Andromachus, s.I-II d.C.",Antidoto Universal / Panacea,64,20,12,2,31.2,18.8,3.1,Opium | Trochisci de vipera | Squilla | Hedychium | Castoreum | Nardus celtica | Petroselinum | Phu/Valeriana | Amomum | Acorus calamus | Hypericum | Gentiana | Aristolochia | Opopanax | Sagapenum | Galbanum | Balsamum | Styrax | Terebinthina | Bitumen judaicum,Crocus | Zingiber | Cinnamomum | Piper longum | Piper nigrum | Myrrha | Olibanum | Casia | Costus | Anisi | Foeniculum | Daucus creticus,Mel despumatum | Vinum
Mithridatium,"Mitridates VI, copiado por Galeno",Antidoto contra venenos,54,16,12,2,29.6,22.2,3.7,Opium | Castoreum | Nardus indica | Nardus celtica | Gentiana | Aristolochia longa | Aristolochia rotunda | Hypericum | Sagapenum | Opopanax | Acacia | Gummi arabicum | Hypocistis | Stachys | Thlaspi | Daucus creticus,Crocus | Zingiber | Cinnamomum | Piper longum | Piper nigrum | Myrrha | Costus | Casia | Anisi | Petroselinum | Foeniculum | Cardamomum,Mel despumatum | Vinum
Diascordium,"Fracastoro, s.XVI, basado en textos anteriores",Antidoto / Antipestilencial,14,6,6,1,42.9,42.9,7.1,Scordium | Opium | Castoreum | Galbanum | Styrax | Bistorta,Cinnamomum | Piper longum | Zingiber | Rosa | Gentiana | Dictamnus,Mel despumatum
Pillulae Cochiae,"Antidotarium Nicolai, s.XII",Purgante fuerte,5,3,2,1,60.0,40.0,20.0,Colocynthis | Aloe | Scammonium,Staphisagria | Bdellium,Succo absinthii
Pillulae Aureae,"Antidotarium Nicolai, s.XII",Purgante suave / Tonico,7,4,2,1,57.1,28.6,14.3,Aloe | Diagridium | Mastix | Rosa,Crocus | Cinnamomum,Succo absinthii
Unguentum Apostolorum,Antidotarium Nicolai / Grabadin,Ungueento cicatrizante,12,7,2,3,58.3,16.7,25.0,Aristolochia longa | Aristolochia rotunda | Opopanax | Galbanum | Bdellium | Verdigris | Litharge,Olibanum | Myrrha,Cera | Oleum olivarum | Resina pini
Electuarium de Succo Rosarum,"Circa Instans / Salerno, s.XII",Laxante suave / Tonico digestivo,8,4,3,1,50.0,37.5,12.5,Rosa gallica | Senna | Tamarindus | Viola,Cinnamomum | Zingiber | Anisi,Saccharum
Aurea Alexandrina,"Antidotarium Nicolai, s.XII",Reconstituyente / Tonico general,22,8,11,3,36.4,50.0,13.6,Opium | Castoreum | Stachys | Hypericum | Petroselinum | Acorus calamus | Phu/Valeriana | Squilla,Crocus | Piper longum | Piper nigrum | Zingiber | Cinnamomum | Myrrha | Costus | Nardus | Anisi | Foeniculum | Casia,Mel despumatum | Vinum | Saccharum
Confectio Hamech,"Antidotarium Nicolai, s.XII",Purgante melancolico / Antimelancolico,15,9,4,2,60.0,26.7,13.3,Polypodium | Epithymum | Fumaria | Lapis lazuli | Myrobalanus indus | Myrobalanus citrinus | Myrobalanus kebulus | Senna | Rhabarbarum,Zingiber | Anisi | Rosa | Cinnamomum,Saccharum | Mel despumatum
Hiera Picra (Hiera de Galeno),"Galeno, copiado en Antidotarium Nicolai",Purgante / Colagogo,10,7,2,1,70.0,20.0,10.0,Aloe | Xylobalsamum | Asarum | Nardus indica | Crocus | Mastix | Spica nardi,Cinnamomum | Casia,Mel despumatum
Trifera Magna,"Antidotarium Nicolai, s.XII",Reconstituyente nervioso / Afrodisiaco,28,13,13,2,46.4,46.4,7.1,Opium | Castoreum | Euphorbia | Pyrethrum | Staphisagria | Sagapenum | Opopanax | Bdellium | Nardus indica | Hypericum | Amomum | Petroselinum | Squilla,Crocus | Piper longum | Piper nigrum | Piper album | Zingiber | Cinnamomum | Casia | Costus | Myrrha | Galanga | Cardamomum | Cubeba | Nux moschata,Mel despumatum | Vinum
Diamargariton (Electuario de Perlas),"Antidotarium Nicolai, s.XII",Cordial / Reconstituyente cardiaco,16,8,7,1,50.0,43.8,6.2,Margarita (Perla) | Corallium rubrum | Corallium album | Lapis lazuli | Os de corde cervi | Cornu cervi | Doronicum | Zedoaria,Cinnamomum | Galanga | Nux moschata | Cubeba | Cardamomum | Crocus | Casia,Saccharum
Diaciminum (Electuario de Comino),"Antidotarium Nicolai, s.XII",Digestivo / Carminativo,11,5,5,1,45.5,45.5,9.1,Cuminum | Apium | Carum (Alcaravea) | Amomum | Daucus creticus,Piper longum | Piper nigrum | Zingiber | Anisi | Cinnamomum,Mel despumatum
Unguentum Basilicon,"Grabadin / Mesue, s.XI",Ungueento supurativo / Madurativo,7,3,1,3,42.9,14.3,42.9,Resina pini | Pix (Pez) | Galbanum,Olibanum,Cera | Oleum olivarum | Sebum
Unguentum Populeon,Nicolaus Praepositus / Salerno,Analgesico / Sedante topico,12,8,1,3,66.7,8.3,25.0,Populus (Yemas de alamo) | Mandragora | Hyoscyamus | Papaver nigrum | Lactuca | Sempervivum | Solanum | Umbilicus veneris,Viola,Axungia porci (Grasa de cerdo) | Oleum olivarum | Cera
Pillulae de Hiera cum Agarico,"Antidotarium Nicolai, s.XII",Purgante flematico,9,5,3,1,55.6,33.3,11.1,Aloe | Agaricum | Coloquintida | Mastix | Euphorbia,Crocus | Cinnamomum | Rosa,Succo absinthii
Pillulae Fetidae (Pildoras Fetidas),"Antidotarium Nicolai, s.XII",Emmenagogo / Antihist'erico,8,5,2,1,62.5,25.0,12.5,Opopanax | Galbanum | Sagapenum | Castoreum | Asa foetida,Myrrha | Bdellium,Succo rutae
Requies Magna (Requies Nicolai),"Antidotarium Nicolai, s.XII",Somnifero / Analgesico potente,17,10,5,2,58.8,29.4,11.8,Opium | Mandragora | Hyoscyamus | Papaver album | Lactuca | Psyllium | Gummi arabicum | Amylum | Tragacantha | Glycyrrhiza,Rosa | Cinnamomum | Nux moschata | Crocus | Camphor,Saccharum | Aqua rosarum
Diacodion (Jarabe de Adormidera),Antidotarium Nicolai / Mesue,Antitusivo / Somnifero suave,6,3,1,2,50.0,16.7,33.3,Papaver album (capita) | Glycyrrhiza | Gummi arabicum,Cinnamomum,Saccharum | Aqua
Dialtea (Ungueento de Altea),Grabadin / Salerno,Emoliente / Antiinflamatorio topico,10,6,1,3,60.0,10.0,30.0,Althaea (Malvavisco) | Linum (Linaza) | Foenum graecum (Alholva) | Terebinthina | Cera | Colophonia,Olibanum,Oleum olivarum | Axungia porci | Aqua
Philonium Persicum,"Antidotarium Nicolai, s.XII",Analgesico / Antidiarreico,18,9,8,1,50.0,44.4,5.6,Opium | Castoreum | Pyrethrum | Euphorbium | Hyoscyamus | Nardus indica | Hypocistis | Gummi arabicum | Styrax,Crocus | Piper longum | Piper nigrum | Zingiber | Cinnamomum | Myrrha | Casia | Cardamomum,Mel despumatum
Oximel Compositum,Antidotarium Nicolai / Mesue,Expectorante / Digestivo,10,5,3,2,50.0,30.0,20.0,Squilla | Petroselinum | Apium | Foeniculum (radix) | Carum,Zingiber | Piper longum | Anisi,Mel despumatum | Acetum
Theriac Diatessaron,Antidotarium Nicolai / Galeno,Antidoto simple (4 ingredientes),5,3,1,1,60.0,20.0,20.0,Gentiana | Aristolochia rotunda | Laurus (Laurel),Myrrha,Mel despumatum
Theodoricon Euporistum,"Antidotarium Nicolai, s.XII",Tonico general / Antidoto,17,8,8,1,47.1,47.1,5.9,Euphorbia | Pyrethrum | Castoreum | Anacardium | Staphisagria | Petroselinum | Nardus indica | Amomum,Piper longum | Piper nigrum | Zingiber | Cinnamomum | Crocus | Myrrha | Cardamomum | Casia,Mel despumatum
Diasatyrion,"Antidotarium Nicolai, s.XII",Afrodisiaco / Reconstituyente,14,5,7,2,35.7,50.0,14.3,Satyrion | Orchis | Eruca | Pastinaca | Triphallus,Zingiber | Piper longum | Galanga | Cinnamomum | Nux moschata | Crocus | Cardamomum,Saccharum | Mel despumatum
Diarodon Abbatis,"Antidotarium Nicolai, s.XII",Cordial / Reconstituyente cardiaco,16,7,8,1,43.8,50.0,6.2,Rosa | Corallium rubrum | Spodium | Sandali rubei | Sandali albi | Doronicum | Buglossa,Cinnamomum | Galanga | Crocus | Cardamomum | Nux moschata | Cubeba | Casia | Zedoaria,Saccharum
