Posicion_Columna,A2,B2,C1,G1,F1,C2,E2,Otras
Columna 1,28.43,12.96,21.71,14.85,2.8,2.66,0.35,16.25
Columna 2,36.33,16.32,19.65,11.75,1.96,2.47,0.51,11.02
Columna 3,38.16,17.59,13.79,13.56,1.68,2.97,0.84,11.42
Columna 4,39.04,16.27,13.7,14.38,2.05,2.57,0.43,11.56
Columna 5,38.52,15.99,12.55,13.95,3.11,3.11,0.75,12.02
Columna 6,39.66,12.1,12.71,15.31,2.3,3.22,1.84,12.86
Columna 7,41.83,14.6,13.73,10.46,2.83,3.27,0.65,12.64
Columna 8,40.76,7.96,15.92,17.2,3.5,2.55,0.32,11.78
Columna 9,35.75,11.76,14.93,14.93,4.52,4.52,0.9,12.67
Columna 10,41.84,8.51,11.35,11.35,2.84,3.55,0.71,19.86
