Raiz_Voynich,Tipo_Vocabulario,N_Recetas_Donde_Aparece,Es_Consistente,Categorias_Asignadas,Match_1_Receta,Match_1_Ingrediente,Match_1_Categoria,Match_2_Receta,Match_2_Ingrediente,Match_2_Categoria,Match_3_Receta,Match_3_Ingrediente,Match_3_Categoria,Match_4_Receta,Match_4_Ingrediente,Match_4_Categoria,Match_5_Receta,Match_5_Ingrediente,Match_5_Categoria
C2A3,Generico,4,NO,DESCONOCIDO / BASE / ESPECIA,Unguentum Apostolorum,Oleum olivarum,BASE,Pillulae Aureae,?,DESCONOCIDO,Aurea Alexandrina,Myrrha,ESPECIA,Theriac Magna,Casia,ESPECIA,,,
K1A1,Generico,4,NO,DESCONOCIDO / BASE / ESPECIA,Unguentum Apostolorum,?,DESCONOCIDO,Diascordium,Gentiana,ESPECIA,Aurea Alexandrina,Crocus/Azafran,ESPECIA,Theriac Magna,Mel despumatum,BASE,,,
K1J1A1,Generico,3,NO,DESCONOCIDO / BASE / ESPECIA,Unguentum Apostolorum,Cera,BASE,Pillulae Aureae,?,DESCONOCIDO,Theriac Magna,Petroselinum,ESPECIA,,,,,,
B1A3,Generico,3,NO,BASE / ESPECIA,Unguentum Apostolorum,Resina pini,BASE,Aurea Alexandrina,Mel despumatum,BASE,Theriac Magna,Piper longum,ESPECIA,,,,,,
Q1K1A1,Generico,3,NO,DESCONOCIDO / ESPECIA,Unguentum Apostolorum,Myrrha,ESPECIA,Aurea Alexandrina,Foeniculum,ESPECIA,Theriac Magna,?,DESCONOCIDO,,,,,,
K1K2A1,Exclusivo,3,SI,ACTIVO,Unguentum Apostolorum,Aristolochia longa,ACTIVO,Diascordium,Castoreum,ACTIVO,Theriac Magna,Hedychium,ACTIVO,,,,,,
BaA3,Exclusivo,3,SI,ACTIVO,Unguentum Apostolorum,Galbanum,ACTIVO,Pillulae Aureae,Diagridium,ACTIVO,Theriac Magna,Terebinthina,ACTIVO,,,,,,
C2A1,Generico,3,NO,DESCONOCIDO / BASE / ESPECIA,Diascordium,Piper longum,ESPECIA,Pillulae Aureae,Succo absinthii,BASE,Theriac Magna,?,DESCONOCIDO,,,,,,
L1J1A1,Generico,3,NO,DESCONOCIDO / BASE / ESPECIA,Diascordium,?,DESCONOCIDO,Aurea Alexandrina,Vinum,BASE,Theriac Magna,Cinnamomum,ESPECIA,,,,,,
D1A1,Generico,2,SI,DESCONOCIDO,Unguentum Apostolorum,?,DESCONOCIDO,Theriac Magna,?,DESCONOCIDO,,,,,,,,,
D1A1Q2K1A1,Generico,2,NO,BASE / ESPECIA,Diascordium,Mel despumatum,BASE,Aurea Alexandrina,Nardus,ESPECIA,,,,,,,,,
U1A1,Generico,2,NO,DESCONOCIDO / ESPECIA,Diascordium,Cinnamomum,ESPECIA,Aurea Alexandrina,?,DESCONOCIDO,,,,,,,,,
L1A1,Generico,2,SI,ESPECIA,Diascordium,Zingiber,ESPECIA,Theriac Magna,Piper nigrum,ESPECIA,,,,,,,,,
D1A1Q1K1A1,Generico,2,SI,ESPECIA,Diascordium,Rosa,ESPECIA,Aurea Alexandrina,Anisi,ESPECIA,,,,,,,,,
B1K1A1,Generico,2,NO,DESCONOCIDO / ESPECIA,Diascordium,Dictamnus,ESPECIA,Theriac Magna,?,DESCONOCIDO,,,,,,,,,
U2A1,Generico,2,NO,DESCONOCIDO / ESPECIA,Diascordium,?,DESCONOCIDO,Aurea Alexandrina,Costus,ESPECIA,,,,,,,,,
A2K1A1,Generico,2,SI,DESCONOCIDO,Diascordium,?,DESCONOCIDO,Aurea Alexandrina,?,DESCONOCIDO,,,,,,,,,
U2J1A1,Exclusivo,2,SI,ACTIVO,Diascordium,Opium,ACTIVO,Pillulae Aureae,Aloe,ACTIVO,,,,,,,,,
K1A3,Generico,2,SI,ESPECIA,Pillulae Aureae,Cinnamomum,ESPECIA,Theriac Magna,Zingiber,ESPECIA,,,,,,,,,
A1Q1A3,Generico,2,NO,BASE / ESPECIA,Aurea Alexandrina,Saccharum,BASE,Theriac Magna,Crocus/Azafran,ESPECIA,,,,,,,,,
Q2A1,Generico,2,NO,DESCONOCIDO / ESPECIA,Aurea Alexandrina,Piper nigrum,ESPECIA,Theriac Magna,?,DESCONOCIDO,,,,,,,,,
A1Q2K1A1,Generico,2,NO,DESCONOCIDO / ESPECIA,Aurea Alexandrina,Casia,ESPECIA,Theriac Magna,?,DESCONOCIDO,,,,,,,,,
B1A1,Generico,2,NO,DESCONOCIDO / ESPECIA,Aurea Alexandrina,?,DESCONOCIDO,Theriac Magna,Daucus creticus,ESPECIA,,,,,,,,,
A1Q1A1,Generico,2,SI,DESCONOCIDO,Aurea Alexandrina,?,DESCONOCIDO,Theriac Magna,?,DESCONOCIDO,,,,,,,,,
D1A1Q1J1A1,Exclusivo,2,SI,ACTIVO,Aurea Alexandrina,Opium,ACTIVO,Theriac Magna,Bitumen judaicum,ACTIVO,,,,,,,,,
