Stem,Type,N_Folios,N_Recipes,Recipes,Best_Category,Intersection_Size,Candidates,Confidence
B1A3,GEN,26,8,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",ALL_EMPTY,0,FUNCTION/CLASS WORD,FUNCTION WORD
K1A1,GEN,25,8,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",ALL_EMPTY,0,FUNCTION/CLASS WORD,FUNCTION WORD
K1J1A1,GEN,24,8,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",ALL_EMPTY,0,FUNCTION/CLASS WORD,FUNCTION WORD
C2A3,GEN,21,8,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",ALL_EMPTY,0,FUNCTION/CLASS WORD,FUNCTION WORD
C2A1,GEN,14,8,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
BaA3,EXCL,22,7,"Aurea Alexandrina, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",ALL_EMPTY,0,FUNCTION/CLASS WORD,FUNCTION WORD
L1A1,GEN,18,6,"Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
A1Q1J1A1,EXCL,12,6,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Philonium Persicum, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
K1K2A1,EXCL,10,6,"Aurea Alexandrina, Diaciminum, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",ALL_EMPTY,0,FUNCTION/CLASS WORD,FUNCTION WORD
U2J1A1,EXCL,10,6,"Aurea Alexandrina, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
L1J1A1,GEN,18,5,"Aurea Alexandrina, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
A1Q2A3,EXCL,16,5,"Aurea Alexandrina, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
A1Q1A3,GEN,16,5,"Aurea Alexandrina, Diaciminum, Diascordium, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
D1A1Q1J1A1,EXCL,14,5,"Aurea Alexandrina, Diaciminum, Diamargariton, Philonium Persicum, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
A1B1A3,GEN,13,5,"Aurea Alexandrina, Confectio Hamech, Philonium Persicum, Pillulae Aureae, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
U1A1,GEN,5,5,"Aurea Alexandrina, Diaciminum, Diascordium, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
A1Q1A1,GEN,14,4,"Aurea Alexandrina, Diaciminum, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
D1A1Q1A3,GEN,14,4,"Aurea Alexandrina, Diascordium, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
A1Q2A1,GEN,11,4,"Aurea Alexandrina, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",ESPECIA,1,Myrrha,*** UNIQUE ***
A1Q2J1A1,EXCL,11,4,"Aurea Alexandrina, Diamargariton, Philonium Persicum, Trifera Magna",ESPECIA,3,Casia | Cinnamomum | Crocus,* 3 candidates *
D1A1Q2A3,GEN,11,4,"Aurea Alexandrina, Diascordium, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
Q2A1,GEN,9,4,"Aurea Alexandrina, Confectio Hamech, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
K1A3,GEN,9,4,"Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna",ESPECIA,1,Cinnamomum,*** UNIQUE ***
U2A1,GEN,5,4,"Aurea Alexandrina, Confectio Hamech, Diascordium, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
D1A1Q1K2A1,EXCL,4,4,"Aurea Alexandrina, Diamargariton, Philonium Persicum, Trifera Magna",ESPECIA,3,Casia | Cinnamomum | Crocus,* 3 candidates *
A1B2A3,EXCL,13,3,"Aurea Alexandrina, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
D1A1Q1A1,GEN,12,3,"Aurea Alexandrina, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
B1A1,GEN,11,3,"Aurea Alexandrina, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
Q1A1,EXCL,9,3,"Aurea Alexandrina, Confectio Hamech, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
D1A1B1A3,GEN,9,3,"Aurea Alexandrina, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
Q1J1A1,GEN,7,3,"Confectio Hamech, Trifera Magna, Unguentum Apostolorum",ALL_EMPTY,0,FUNCTION/CLASS WORD,FUNCTION WORD
D1A1,GEN,6,3,"Aurea Alexandrina, Trifera Magna, Unguentum Apostolorum",ESPECIA,1,Myrrha,*** UNIQUE ***
K1A1B1A3,EXCL,6,3,"Aurea Alexandrina, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
A2K1A1,GEN,5,3,"Aurea Alexandrina, Diascordium, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
Q2K1A1,GEN,4,3,"Aurea Alexandrina, Confectio Hamech, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
D1A1Q1K1A1,GEN,4,3,"Aurea Alexandrina, Diascordium, Philonium Persicum",BASE,1,Mel despumatum,*** UNIQUE ***
Q2L1A1,EXCL,4,3,"Aurea Alexandrina, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
K1BaA3,EXCL,4,3,"Diascordium, Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
D1A1Q2K1A1,GEN,3,3,"Aurea Alexandrina, Diascordium, Philonium Persicum",BASE,1,Mel despumatum,*** UNIQUE ***
P1K1J1B1A3,GEN,3,3,"Aurea Alexandrina, Diascordium, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
A1P1A3,EXCL,9,2,"Aurea Alexandrina, Trifera Magna",BASE,2,Mel despumatum | Vinum,** 2 candidates **
Q2A3,GEN,8,2,"Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
Q1A3,GEN,8,2,"Aurea Alexandrina, Trifera Magna",BASE,2,Mel despumatum | Vinum,** 2 candidates **
A2Q2A3,EXCL,6,2,"Diascordium, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
B2A1,EXCL,6,2,"Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
A2Q1J1A1,EXCL,5,2,"Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
A2Q1A3,GEN,5,2,"Aurea Alexandrina, Trifera Magna",BASE,2,Mel despumatum | Vinum,** 2 candidates **
B1Aa,GEN,5,2,"Aurea Alexandrina, Trifera Magna",BASE,2,Mel despumatum | Vinum,** 2 candidates **
A1Q2K1A1,GEN,4,2,"Aurea Alexandrina, Trifera Magna",BASE,2,Mel despumatum | Vinum,** 2 candidates **
A2K1J1A1,GEN,4,2,"Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
K1Q2A3,EXCL,4,2,"Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
A2Q2A1,GEN,4,2,"Aurea Alexandrina, Philonium Persicum",BASE,1,Mel despumatum,*** UNIQUE ***
T1A1,EXCL,3,2,"Diamargariton, Trifera Magna",ESPECIA,7,7 candidates,LOW
A1B2A1,EXCL,3,2,"Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
K1J1Q1A3,EXCL,3,2,"Aurea Alexandrina, Trifera Magna",BASE,2,Mel despumatum | Vinum,** 2 candidates **
K1J1Q2A3,GEN,3,2,"Diascordium, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
Q1J1A1B1A3,EXCL,2,2,"Aurea Alexandrina, Confectio Hamech",BASE,2,Mel despumatum | Saccharum,** 2 candidates **
B1K1A1,GEN,2,2,"Confectio Hamech, Diascordium",BASE,1,Mel despumatum,*** UNIQUE ***
Q1K1A1,GEN,2,2,"Aurea Alexandrina, Unguentum Apostolorum",ESPECIA,1,Myrrha,*** UNIQUE ***
K1A1Q1A1,EXCL,2,2,"Aurea Alexandrina, Trifera Magna",BASE,2,Mel despumatum | Vinum,** 2 candidates **
K1A1B2B1A3,GEN,2,2,"Diamargariton, Trifera Magna",ESPECIA,7,7 candidates,LOW
A2L1J1A1,EXCL,2,2,"Philonium Persicum, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
Q2A1B1A3,EXCL,2,2,"Aurea Alexandrina, Diascordium",BASE,1,Mel despumatum,*** UNIQUE ***
A1Q1K1A3,GEN,2,2,"Diascordium, Trifera Magna",BASE,1,Mel despumatum,*** UNIQUE ***
