Stem,Type,N_Present,N_Absent,Present_Recipes,Absent_Recipes,Best_Candidate,Best_Category,Best_Score,Pos_Score,Neg_Score,Discriminativity,N_Candidates,All_Candidates,Confidence
C2A1,GEN,8,5,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.63,1.0,0.2,0.348,1,Cinnamomum(0.630),UNIQUE
A3,UNK,7,6,"Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.62,1.0,0.167,0.348,1,Cinnamomum(0.620),UNIQUE
L1,UNK,7,6,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.62,1.0,0.167,0.348,1,Cinnamomum(0.620),UNIQUE
A1Q1J1A1,EXCL,6,6,"Aurea Alexandrina, Confectio Hamech, Diaciminum, Diamargariton, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.62,1.0,0.167,0.348,1,Cinnamomum(0.620),UNIQUE
A1Q2K2,UNK,6,7,"Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.612,1.0,0.143,0.348,1,Cinnamomum(0.612),UNIQUE
D1A1U1A1,UNK,6,7,"Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diaciminum, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.612,1.0,0.143,0.348,1,Cinnamomum(0.612),UNIQUE
L1A1,GEN,6,7,"Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Diaciminum, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.612,1.0,0.143,0.348,1,Cinnamomum(0.612),UNIQUE
L1K2,UNK,6,6,"Aurea Alexandrina, Diaciminum, Diamargariton, Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.62,1.0,0.167,0.348,1,Cinnamomum(0.620),UNIQUE
U2J1A1,EXCL,6,7,"Aurea Alexandrina, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diaciminum, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.612,1.0,0.143,0.348,1,Cinnamomum(0.612),UNIQUE
A1B1A3,GEN,5,7,"Aurea Alexandrina, Confectio Hamech, Philonium Persicum, Pillulae Aureae, Trifera Magna","Aurea Alexandrina, Diaciminum, Diamargariton, Diascordium, Philonium Persicum, Trifera Magna, Unguentum Apostolorum",Cinnamomum,ESPECIA,0.612,1.0,0.143,0.348,1,Cinnamomum(0.612),UNIQUE
A1Q1A3,GEN,5,8,"Aurea Alexandrina, Diaciminum, Diascordium, Philonium Persicum, Trifera Magna","Aurea Alexandrina, Confectio Hamech, Diamargariton, Diascordium, Philonium Persicum, Pillulae Aureae, Trifera Magna, Unguentum Apostolorum",Piper longum,ESPECIA,0.78,1.0,0.5,0.652,4,Piper longum(0.780) | Zingiber(0.726) | Mel despumatum(0.717) | Cinnamomum(0.607),MODERATE
