Stem,In_Opium,In_Cast,In_Tied,Total_Folios,LogOR,Direction,Atoms,Length
A1,6,17,22,45,-0.990,CASTOREUM,A1,1
A1A1,1,1,0,2,1.099,OPIUM,A1|A1,2
A1A3,2,7,9,18,-0.251,NEUTRAL,A1|A3,2
A1B1,2,5,3,10,0.233,NEUTRAL,A1|B1,2
A1B1A1,1,0,3,4,2.256,OPIUM,A1|B1|A1,3
A1B1K2,0,1,1,2,-0.167,NEUTRAL,A1|B1|K2,3
A1B2,2,7,4,13,-0.251,NEUTRAL,A1|B2,2
A1B2A1,1,7,0,8,-0.963,CASTOREUM,A1|B2|A1,3
A1B2A1C1A3,0,2,0,2,-0.740,CASTOREUM,A1|B2|A1|C1|A3,5
A1B2A3,3,12,9,24,-0.821,CASTOREUM,A1|B2|A3,3
A1B2A3C1A3,1,1,0,2,1.099,OPIUM,A1|B2|A3|C1|A3,5
A1B2B1,0,1,4,5,-0.167,NEUTRAL,A1|B2|B1,3
A1B2BaA3,1,0,2,3,2.256,OPIUM,A1|B2|Ba|A3,4
A1B2K1,0,3,1,4,-1.144,CASTOREUM,A1|B2|K1,3
A1B2K1A1,1,0,2,3,2.256,OPIUM,A1|B2|K1|A1,4
A1B2K1A3,0,4,0,4,-1.466,CASTOREUM,A1|B2|K1|A3,4
A1B2K1B1,1,1,0,2,1.099,OPIUM,A1|B2|K1|B1,4
A1B2K1J1A1B1,0,1,1,2,-0.167,NEUTRAL,A1|B2|K1|J1|A1|B1,6
A1B2K1J1B1,1,2,0,3,0.525,OPIUM,A1|B2|K1|J1|B1,5
A1B2K1J1Ba,0,2,0,2,-0.740,CASTOREUM,A1|B2|K1|J1|Ba,5
A1B2K1K2,0,1,6,7,-0.167,NEUTRAL,A1|B2|K1|K2,4
A1B2K1M1,0,2,0,2,-0.740,CASTOREUM,A1|B2|K1|M1,4
A1B2K2,0,1,1,2,-0.167,NEUTRAL,A1|B2|K2,3
A1B2K2B1,0,1,1,2,-0.167,NEUTRAL,A1|B2|K2|B1,4
A1B2L1,0,2,1,3,-0.740,CASTOREUM,A1|B2|L1,3
A1B2L1J1B1,0,2,0,2,-0.740,CASTOREUM,A1|B2|L1|J1|B1,5
A1B2L1K2,0,3,0,3,-1.144,CASTOREUM,A1|B2|L1|K2,4
A1B2M1,0,0,2,2,0.990,OPIUM,A1|B2|M1,3
A1B2Q1,1,0,2,3,2.256,OPIUM,A1|B2|Q1,3
A1B2Q1A1,2,0,0,2,2.968,OPIUM,A1|B2|Q1|A1,4
A1B2Q1A3,3,8,7,18,0.111,NEUTRAL,A1|B2|Q1|A3,4
A1B2Q1J1,0,2,1,3,-0.740,CASTOREUM,A1|B2|Q1|J1,4
A1B2Q1J1A1,0,1,2,3,-0.167,NEUTRAL,A1|B2|Q1|J1|A1,5
A1B2Q1J1B1,0,3,0,3,-1.144,CASTOREUM,A1|B2|Q1|J1|B1,5
A1B2Q1J1Ba,0,1,1,2,-0.167,NEUTRAL,A1|B2|Q1|J1|Ba,5
A1B2Q1K1J1B1,0,0,2,2,0.990,OPIUM,A1|B2|Q1|K1|J1|B1,6
A1B2Q1K2,1,8,7,16,-1.188,CASTOREUM,A1|B2|Q1|K2,4
A1B2Q1K2A1,0,0,2,2,0.990,OPIUM,A1|B2|Q1|K2|A1,5
