Folio,Total_Words,Unique_Stems,Identified_Ingredients,Ingredients_List,Best_Match,Best_Overlap,Best_Overlap_Ings,Best_F1,Best_Folio_Cov,Best_Recipe_Cov,Best_Struct_Sim,Second_Match,Second_F1
f87r,97,77,3,Mel despumatum | Rosa | Zingiber,Itrifal Ustukhudus (Electuario de Espliego),3,Mel despumatum | Rosa | Zingiber,40.0,100.0,25.0,15.6,Diascordium,37.5
f87v,35,30,3,Casia | Myrrha | Opopanax,Pillulae Fetidae (Pildoras Fetidas),2,Myrrha | Opopanax,36.4,66.7,25.0,26.7,Unguentum Apostolorum,26.7
f88r,143,89,12,Cardamomum | Casia | Crocus | Cubeba | Galanga | Galbanum | Mel despumatum | Nux moschata | Opopanax | Piper longum | Piper nigrum | Zingiber,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,58.3,58.3,58.3,13.5,Trifera Magna,55.0
f88v,135,104,10,Cardamomum | Casia | Crocus | Galbanum | Mel despumatum | Myrrha | Opopanax | Piper longum | Piper nigrum | Zingiber,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,66.7,80.0,57.1,13.5,Electuarium Justinum,66.7
f89r,364,193,10,Bdellium | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Opopanax | Piper longum | Piper nigrum | Zingiber,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,66.7,80.0,57.1,7.3,Electuarium Justinum,66.7
f89v,328,191,9,Cardamomum | Casia | Crocus | Galbanum | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,7.3,Electuarium Justinum,69.6
f90r,83,63,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,Philonium Romanum,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,70.6,100.0,54.5,17.5,Paulinum,63.2
f90v,62,53,3,Casia | Mel despumatum | Zingiber,Electuarium Diacostum,3,Casia | Mel despumatum | Zingiber,42.9,100.0,27.3,20.8,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),40.0
f93r,122,82,6,Casia | Mel despumatum | Myrrha | Piper nigrum | Styrax | Zingiber,Paulinum,5,Casia | Mel despumatum | Myrrha | Piper nigrum | Zingiber,52.6,83.3,38.5,15.9,Philonium Persicum,50.0
f93v,25,22,6,Casia | Crocus | Galbanum | Mel despumatum | Piper nigrum | Zingiber,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,55.6,83.3,41.7,54.5,Paulinum,52.6
f94r,68,56,2,Myrrha | Piper longum,Electuarium de Baccis Lauri,2,Myrrha | Piper longum,30.8,100.0,18.2,19.6,Philonium Romanum,30.8
f94v,41,36,4,Mel despumatum | Myrrha | Piper longum | Zingiber,Electuarium de Baccis Lauri,4,Mel despumatum | Myrrha | Piper longum | Zingiber,53.3,100.0,36.4,30.6,Philonium Romanum,53.3
