Folio,Recipe,F1,Overlap,Folio_N,Recipe_N,Overlap_Ingredients
f87r,Theriac Magna (Triaca de Andromachus),5.6,1,2,34,Mel despumatum
f87r,Mithridatium,6.2,1,2,30,Mel despumatum
f87r,Diascordium,26.7,2,2,13,Mel despumatum|Rosa
f87r,Pillulae Cochiae,0.0,0,2,6,
f87r,Pillulae Aureae,22.2,1,2,7,Rosa
f87r,Unguentum Apostolorum,0.0,0,2,12,
f87r,Electuarium de Succo Rosarum,0.0,0,2,8,
f87r,Aurea Alexandrina,8.3,1,2,22,Mel despumatum
f87r,Confectio Hamech,23.5,2,2,15,Mel despumatum|Rosa
f87r,Hiera Picra (Hiera de Galeno),16.7,1,2,10,Mel despumatum
f87r,Trifera Magna,6.7,1,2,28,Mel despumatum
f87r,Diamargariton (Electuario de Perlas),0.0,0,2,16,
f87r,Diaciminum (Electuario de Comino),15.4,1,2,11,Mel despumatum
f87r,Unguentum Basilicon,0.0,0,2,7,
f87r,Unguentum Populeon,0.0,0,2,12,
f87r,Pillulae de Hiera cum Agarico,18.2,1,2,9,Rosa
f87r,Pillulae Fetidae (Pildoras Fetidas),0.0,0,2,8,
f87r,Requies Magna (Requies Nicolai),10.5,1,2,17,Rosa
f87r,Diacodion (Jarabe de Adormidera),0.0,0,2,6,
f87r,Dialtea (Ungueento de Altea),0.0,0,2,10,
f87r,Philonium Persicum,10.0,1,2,18,Mel despumatum
f87r,Oximel Compositum,16.7,1,2,10,Mel despumatum
f87r,Theriac Diatessaron,28.6,1,2,5,Mel despumatum
f87r,Theodoricon Euporistum,10.5,1,2,17,Mel despumatum
f87r,Diasatyrion,12.5,1,2,14,Mel despumatum
f87r,Diarodon Abbatis,11.1,1,2,16,Rosa
f87r,Rosata Novella,22.2,1,2,7,Rosa
f87r,Letitia Galeni,12.5,1,2,14,Rosa
f87r,Trifera Saracenica,12.5,1,2,14,Mel despumatum
f87r,Paulinum,13.3,1,2,13,Mel despumatum
f87r,Electuarium Justinum,12.5,1,2,14,Mel despumatum
f87r,Electuarium de Baccis Lauri,15.4,1,2,11,Mel despumatum
f87r,Syrupus de Fumaria,0.0,0,2,9,
f87r,Confectio Anacardia,16.7,1,2,10,Mel despumatum
f87r,Electuarium Diacostum,15.4,1,2,11,Mel despumatum
f87r,Unguentum Marciaton,0.0,0,2,10,
f87r,Suffuf al-Tib (Polvo aromatico de Avicena),18.2,1,2,9,Rosa
f87r,Itrifal Ustukhudus (Electuario de Espliego),28.6,2,2,12,Mel despumatum|Rosa
f87r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),28.6,1,2,5,Mel despumatum
f87r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),14.3,1,2,12,Mel despumatum
f87r,Unguentum Abulcasis (de vulneribus),0.0,0,2,8,
f87r,Theriac Abulcasis (contra venenos),12.5,1,2,14,Mel despumatum
f87r,Antidotum Hadriani,14.3,1,2,12,Mel despumatum
f87r,Electuarium Ducis,15.4,1,2,11,Mel despumatum
f87r,Benedicta Laxativa,0.0,0,2,12,
f87r,Diatragacanthi,0.0,0,2,6,
f87r,Dianucum (Electuario de Nueces),18.2,1,2,9,Mel despumatum
f87r,Electuarium Diaspermaton,16.7,1,2,10,Mel despumatum
f87r,Philonium Romanum,15.4,1,2,11,Mel despumatum
f87r,Theriac Diatessaron Magna,20.0,1,2,8,Mel despumatum
f87v,Theriac Magna (Triaca de Andromachus),20.5,4,5,34,Crocus|Galbanum|Myrrha|Opopanax
f87v,Mithridatium,17.1,3,5,30,Crocus|Myrrha|Opopanax
f87v,Diascordium,11.1,1,5,13,Galbanum
f87v,Pillulae Cochiae,18.2,1,5,6,Bdellium
f87v,Pillulae Aureae,16.7,1,5,7,Crocus
f87v,Unguentum Apostolorum,47.1,4,5,12,Bdellium|Galbanum|Myrrha|Opopanax
f87v,Electuarium de Succo Rosarum,0.0,0,5,8,
f87v,Aurea Alexandrina,14.8,2,5,22,Crocus|Myrrha
f87v,Confectio Hamech,0.0,0,5,15,
f87v,Hiera Picra (Hiera de Galeno),13.3,1,5,10,Crocus
f87v,Trifera Magna,24.2,4,5,28,Bdellium|Crocus|Myrrha|Opopanax
f87v,Diamargariton (Electuario de Perlas),9.5,1,5,16,Crocus
f87v,Diaciminum (Electuario de Comino),0.0,0,5,11,
f87v,Unguentum Basilicon,16.7,1,5,7,Galbanum
f87v,Unguentum Populeon,0.0,0,5,12,
f87v,Pillulae de Hiera cum Agarico,14.3,1,5,9,Crocus
f87v,Pillulae Fetidae (Pildoras Fetidas),61.5,4,5,8,Bdellium|Galbanum|Myrrha|Opopanax
f87v,Requies Magna (Requies Nicolai),9.1,1,5,17,Crocus
f87v,Diacodion (Jarabe de Adormidera),0.0,0,5,6,
f87v,Dialtea (Ungueento de Altea),0.0,0,5,10,
f87v,Philonium Persicum,17.4,2,5,18,Crocus|Myrrha
f87v,Oximel Compositum,0.0,0,5,10,
f87v,Theriac Diatessaron,20.0,1,5,5,Myrrha
f87v,Theodoricon Euporistum,18.2,2,5,17,Crocus|Myrrha
f87v,Diasatyrion,10.5,1,5,14,Crocus
f87v,Diarodon Abbatis,9.5,1,5,16,Crocus
f87v,Rosata Novella,16.7,1,5,7,Crocus
f87v,Letitia Galeni,10.5,1,5,14,Crocus
f87v,Trifera Saracenica,21.1,2,5,14,Crocus|Myrrha
f87v,Paulinum,22.2,2,5,13,Crocus|Myrrha
f87v,Electuarium Justinum,21.1,2,5,14,Crocus|Myrrha
f87v,Electuarium de Baccis Lauri,12.5,1,5,11,Myrrha
f87v,Syrupus de Fumaria,0.0,0,5,9,
f87v,Confectio Anacardia,13.3,1,5,10,Crocus
f87v,Electuarium Diacostum,0.0,0,5,11,
f87v,Unguentum Marciaton,0.0,0,5,10,
f87v,Suffuf al-Tib (Polvo aromatico de Avicena),14.3,1,5,9,Crocus
f87v,Itrifal Ustukhudus (Electuario de Espliego),11.8,1,5,12,Crocus
