Folio,Recipe,F1,N_TP
f100r,Theriac Magna (Triaca de Andromachus),26.1,3
f100r,Mithridatium,38.1,4
f100r,Diascordium,11.8,1
f100r,Pillulae Cochiae,0,0
f100r,Pillulae Aureae,36.4,2
f100r,Unguentum Apostolorum,0,0
f100r,Electuarium de Succo Rosarum,36.4,2
f100r,Aurea Alexandrina,42.1,4
f100r,Confectio Hamech,30.8,2
f100r,Hiera Picra (Hiera de Galeno),50.0,3
f100r,Trifera Magna,56.0,7
f100r,Diamargariton (Electuario de Perlas),100.0,8
f100r,Diaciminum (Electuario de Comino),14.3,1
f100r,Unguentum Basilicon,0,0
f100r,Unguentum Populeon,0,0
f100r,Pillulae de Hiera cum Agarico,36.4,2
f100r,Pillulae Fetidae (Pildoras Fetidas),0,0
f100r,Requies Magna (Requies Nicolai),61.5,4
f100r,Diacodion (Jarabe de Adormidera),40.0,2
f100r,Dialtea (Ungueento de Altea),0,0
f100r,Philonium Persicum,42.1,4
f100r,Oximel Compositum,0,0
f100r,Theriac Diatessaron,0,0
f100r,Theodoricon Euporistum,40.0,4
f100r,Diasatyrion,70.6,6
f100r,Diarodon Abbatis,94.1,8
f100r,Rosata Novella,71.4,5
f100r,Letitia Galeni,87.5,7
f100r,Trifera Saracenica,44.4,4
f100r,Paulinum,33.3,3
f100r,Electuarium Justinum,42.1,4
f100r,Electuarium de Baccis Lauri,13.3,1
f100r,Syrupus de Fumaria,40.0,2
f100r,Confectio Anacardia,26.7,2
f100r,Electuarium Diacostum,40.0,3
f100r,Unguentum Marciaton,0,0
f100r,Suffuf al-Tib (Polvo aromatico de Avicena),80.0,6
f100r,Itrifal Ustukhudus (Electuario de Espliego),30.8,2
f100r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),0,0
f100r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),50.0,4
f100r,Unguentum Abulcasis (de vulneribus),0,0
f100r,Theriac Abulcasis (contra venenos),21.1,2
f100r,Antidotum Hadriani,35.3,3
f100r,Electuarium Ducis,30.8,2
f100r,Benedicta Laxativa,50.0,3
f100r,Diatragacanthi,40.0,2
f100r,Dianucum (Electuario de Nueces),15.4,1
f100r,Electuarium Diaspermaton,14.3,1
f100r,Philonium Romanum,26.7,2
f100r,Theriac Diatessaron Magna,15.4,1
f100v,Theriac Magna (Triaca de Andromachus),57.1,6
f100v,Mithridatium,42.1,4
f100v,Diascordium,53.3,4
f100v,Pillulae Cochiae,0,0
f100v,Pillulae Aureae,0,0
f100v,Unguentum Apostolorum,20.0,1
f100v,Electuarium de Succo Rosarum,22.2,1
f100v,Aurea Alexandrina,47.1,4
f100v,Confectio Hamech,36.4,2
f100v,Hiera Picra (Hiera de Galeno),20.0,1
f100v,Trifera Magna,43.5,5
f100v,Diamargariton (Electuario de Perlas),0,0
f100v,Diaciminum (Electuario de Comino),83.3,5
f100v,Unguentum Basilicon,28.6,1
f100v,Unguentum Populeon,0,0
f100v,Pillulae de Hiera cum Agarico,0,0
f100v,Pillulae Fetidae (Pildoras Fetidas),18.2,1
f100v,Requies Magna (Requies Nicolai),0,0
f100v,Diacodion (Jarabe de Adormidera),0,0
f100v,Dialtea (Ungueento de Altea),0,0
f100v,Philonium Persicum,47.1,4
f100v,Oximel Compositum,60.0,3
f100v,Theriac Diatessaron,22.2,1
f100v,Theodoricon Euporistum,55.6,5
f100v,Diasatyrion,40.0,3
f100v,Diarodon Abbatis,0,0
f100v,Rosata Novella,0,0
f100v,Letitia Galeni,0,0
f100v,Trifera Saracenica,50.0,4
f100v,Paulinum,50.0,4
f100v,Electuarium Justinum,58.8,5
f100v,Electuarium de Baccis Lauri,46.2,3
f100v,Syrupus de Fumaria,0,0
f100v,Confectio Anacardia,61.5,4
f100v,Electuarium Diacostum,61.5,4
f100v,Unguentum Marciaton,0,0
f100v,Suffuf al-Tib (Polvo aromatico de Avicena),0,0
f100v,Itrifal Ustukhudus (Electuario de Espliego),36.4,2
f100v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),22.2,1
f100v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),57.1,4
f100v,Unguentum Abulcasis (de vulneribus),0,0
f100v,Theriac Abulcasis (contra venenos),58.8,5
f100v,Antidotum Hadriani,40.0,3
f100v,Electuarium Ducis,54.5,3
f100v,Benedicta Laxativa,20.0,1
f100v,Diatragacanthi,0,0
f100v,Dianucum (Electuario de Nueces),54.5,3
f100v,Electuarium Diaspermaton,66.7,4
f100v,Philonium Romanum,61.5,4
f100v,Theriac Diatessaron Magna,18.2,1
f101r,Theriac Magna (Triaca de Andromachus),66.7,9
f101r,Mithridatium,64.0,8
f101r,Diascordium,38.1,4
f101r,Pillulae Cochiae,0,0
f101r,Pillulae Aureae,26.7,2
f101r,Unguentum Apostolorum,12.5,1
f101r,Electuarium de Succo Rosarum,26.7,2
f101r,Aurea Alexandrina,69.6,8
f101r,Confectio Hamech,35.3,3
f101r,Hiera Picra (Hiera de Galeno),50.0,4
f101r,Trifera Magna,82.8,12
f101r,Diamargariton (Electuario de Perlas),60.0,6
f101r,Diaciminum (Electuario de Comino),66.7,6
f101r,Unguentum Basilicon,0,0
f101r,Unguentum Populeon,0,0
f101r,Pillulae de Hiera cum Agarico,26.7,2
f101r,Pillulae Fetidae (Pildoras Fetidas),11.8,1
f101r,Requies Magna (Requies Nicolai),35.3,3
f101r,Diacodion (Jarabe de Adormidera),14.3,1
f101r,Dialtea (Ungueento de Altea),0,0
f101r,Philonium Persicum,69.6,8
f101r,Oximel Compositum,37.5,3
f101r,Theriac Diatessaron,26.7,2
f101r,Theodoricon Euporistum,75.0,9
f101r,Diasatyrion,66.7,7
f101r,Diarodon Abbatis,57.1,6
f101r,Rosata Novella,44.4,4
f101r,Letitia Galeni,50.0,5
f101r,Trifera Saracenica,72.7,8
f101r,Paulinum,72.7,8
f101r,Electuarium Justinum,78.3,9
f101r,Electuarium de Baccis Lauri,52.6,5
f101r,Syrupus de Fumaria,14.3,1
f101r,Confectio Anacardia,63.2,6
f101r,Electuarium Diacostum,63.2,6
f101r,Unguentum Marciaton,0,0
f101r,Suffuf al-Tib (Polvo aromatico de Avicena),52.6,5
f101r,Itrifal Ustukhudus (Electuario de Espliego),47.1,4
f101r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),26.7,2
f101r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),70.0,7
f101r,Unguentum Abulcasis (de vulneribus),15.4,1
f101r,Theriac Abulcasis (contra venenos),60.9,7
f101r,Antidotum Hadriani,66.7,7
f101r,Electuarium Ducis,47.1,4
f101r,Benedicta Laxativa,37.5,3
f101r,Diatragacanthi,14.3,1
f101r,Dianucum (Electuario de Nueces),47.1,4
f101r,Electuarium Diaspermaton,55.6,5
f101r,Philonium Romanum,73.7,7
f101r,Theriac Diatessaron Magna,35.3,3
f101v,Theriac Magna (Triaca de Andromachus),60.9,7
f101v,Mithridatium,66.7,7
f101v,Diascordium,47.1,4
f101v,Pillulae Cochiae,0,0
f101v,Pillulae Aureae,36.4,2
f101v,Unguentum Apostolorum,33.3,2
