Folio,Galanga_F1,Galanga_Recipe,Cubeba_F1,Cubeba_Recipe,Nux_F1,Nux_Recipe,Verdict
f100r,100.0,Diamargariton (Electuario de Perlas),100.0,Diamargariton (Electuario de Perlas),100.0,Diamargariton (Electuario de Perlas),TIED
f100v,80.0,Diaciminum (Electuario de Comino),80.0,Diaciminum (Electuario de Comino),80.0,Diaciminum (Electuario de Comino),TIED
f101r,88.9,Theodoricon Euporistum,88.9,Theodoricon Euporistum,88.9,Theodoricon Euporistum,TIED
f101v,80.0,Trifera Saracenica,80.0,Trifera Saracenica,80.0,Trifera Saracenica,TIED
f102r,82.4,Mithridatium,82.4,Mithridatium,82.4,Mithridatium,TIED
f102v,80.0,Trifera Saracenica,80.0,Trifera Saracenica,80.0,Trifera Saracenica,TIED
f103r,71.4,Theodoricon Euporistum,71.4,Theodoricon Euporistum,71.4,Theodoricon Euporistum,TIED
f103v,80.0,Theodoricon Euporistum,80.0,Theodoricon Euporistum,80.0,Theodoricon Euporistum,TIED
f104r,75.0,Theodoricon Euporistum,75.0,Theodoricon Euporistum,75.0,Theodoricon Euporistum,TIED
f104v,80.0,Trifera Saracenica,80.0,Trifera Saracenica,80.0,Trifera Saracenica,TIED
f105r,87.5,Trifera Saracenica,87.5,Trifera Saracenica,87.5,Trifera Saracenica,TIED
f105v,75.0,Mithridatium,75.0,Mithridatium,75.0,Mithridatium,TIED
f106r,87.5,Aurea Alexandrina,87.5,Aurea Alexandrina,87.5,Aurea Alexandrina,TIED
f106v,80.0,Philonium Persicum,80.0,Philonium Persicum,80.0,Philonium Persicum,TIED
f107r,76.9,Trifera Saracenica,76.9,Trifera Saracenica,76.9,Trifera Saracenica,TIED
f107v,87.5,Trifera Saracenica,87.5,Trifera Saracenica,87.5,Trifera Saracenica,TIED
f108r,82.4,Theodoricon Euporistum,82.4,Theodoricon Euporistum,82.4,Theodoricon Euporistum,TIED
f108v,87.5,Theodoricon Euporistum,87.5,Theodoricon Euporistum,87.5,Theodoricon Euporistum,TIED
f111r,80.0,Trifera Magna,80.0,Trifera Magna,80.0,Trifera Magna,TIED
f111v,82.4,Theodoricon Euporistum,82.4,Theodoricon Euporistum,82.4,Theodoricon Euporistum,TIED
f112r,80.0,Trifera Saracenica,80.0,Trifera Saracenica,80.0,Trifera Saracenica,TIED
f112v,76.9,Antidotum Hadriani,76.9,Antidotum Hadriani,76.9,Antidotum Hadriani,TIED
f113r,80.0,Theodoricon Euporistum,80.0,Theodoricon Euporistum,80.0,Theodoricon Euporistum,TIED
f113v,94.7,Theodoricon Euporistum,94.7,Theodoricon Euporistum,94.7,Theodoricon Euporistum,TIED
f114r,94.1,Mithridatium,94.1,Mithridatium,94.1,Mithridatium,TIED
f114v,75.0,Trifera Saracenica,75.0,Trifera Saracenica,75.0,Trifera Saracenica,TIED
f115r,66.7,Trifera Magna,66.7,Trifera Magna,66.7,Trifera Magna,TIED
f115v,81.8,Trifera Magna,81.8,Trifera Magna,81.8,Trifera Magna,TIED
f116r,80.0,Trifera Magna,80.0,Trifera Magna,80.0,Trifera Magna,TIED
f116v,0.0,,0.0,,0.0,,INSUFFICIENT
f87r,66.7,Confectio Hamech,66.7,Confectio Hamech,66.7,Confectio Hamech,TIED
f87v,88.9,Unguentum Apostolorum,88.9,Unguentum Apostolorum,88.9,Unguentum Apostolorum,TIED
f88r,77.8,Mithridatium,77.8,Mithridatium,77.8,Mithridatium,TIED
f88v,87.5,Trifera Saracenica,87.5,Trifera Saracenica,87.5,Trifera Saracenica,TIED
f89r,84.2,Mithridatium,84.2,Mithridatium,84.2,Mithridatium,TIED
f89v,87.5,Trifera Saracenica,87.5,Trifera Saracenica,87.5,Trifera Saracenica,TIED
f90r,75.0,Electuarium de Baccis Lauri,75.0,Electuarium de Baccis Lauri,75.0,Electuarium de Baccis Lauri,TIED
f90v,83.3,Antidotum Hadriani,83.3,Antidotum Hadriani,83.3,Antidotum Hadriani,TIED
f93r,71.4,Philonium Persicum,71.4,Philonium Persicum,71.4,Philonium Persicum,TIED
f93v,66.7,Theriac Magna (Triaca de Andromachus),66.7,Theriac Magna (Triaca de Andromachus),66.7,Theriac Magna (Triaca de Andromachus),TIED
f94r,66.7,Electuarium de Baccis Lauri,66.7,Electuarium de Baccis Lauri,66.7,Electuarium de Baccis Lauri,TIED
f94v,80.0,Antidotum Hadriani,80.0,Antidotum Hadriani,80.0,Antidotum Hadriani,TIED
f95r,80.0,Trifera Magna,80.0,Trifera Magna,80.0,Trifera Magna,TIED
f95v,61.5,Philonium Persicum,61.5,Philonium Persicum,61.5,Philonium Persicum,TIED
f96r,66.7,Philonium Persicum,66.7,Philonium Persicum,66.7,Philonium Persicum,TIED
f96v,50.0,Pillulae Aureae,50.0,Pillulae Aureae,50.0,Pillulae Aureae,TIED
f99r,71.4,Theodoricon Euporistum,71.4,Theodoricon Euporistum,71.4,Theodoricon Euporistum,TIED
f99v,85.7,Aurea Alexandrina,85.7,Aurea Alexandrina,85.7,Aurea Alexandrina,TIED
