Folio,Rank,Recipe,Overlap,Overlap_Ingredients,F1_pct,Folio_Coverage_pct,Recipe_Coverage_pct,Structural_Sim_pct,Recipe_N_Ingredients
f87r,1,Itrifal Ustukhudus (Electuario de Espliego),3,Mel despumatum | Rosa | Zingiber,40.0,100.0,25.0,15.6,12
f87r,2,Diascordium,3,Mel despumatum | Rosa | Zingiber,37.5,100.0,23.1,18.2,14
f87r,3,Confectio Hamech,3,Mel despumatum | Rosa | Zingiber,33.3,100.0,20.0,19.5,15
f87r,4,Dianucum (Electuario de Nueces),2,Mel despumatum | Zingiber,33.3,66.7,22.2,11.7,9
f87r,5,Oximel Compositum,2,Mel despumatum | Zingiber,30.8,66.7,20.0,13.0,10
f87v,1,Pillulae Fetidae (Pildoras Fetidas),2,Myrrha | Opopanax,36.4,66.7,25.0,26.7,8
f87v,2,Unguentum Apostolorum,2,Myrrha | Opopanax,26.7,66.7,16.7,40.0,12
f87v,3,Antidotum Hadriani,2,Casia | Myrrha,26.7,66.7,16.7,40.0,12
f87v,4,Paulinum,2,Casia | Myrrha,25.0,66.7,15.4,43.3,13
f87v,5,Theriac Diatessaron,1,Myrrha,25.0,33.3,20.0,16.7,5
f88r,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,58.3,58.3,58.3,13.5,12
f88r,2,Trifera Magna,11,Cardamomum | Casia | Crocus | Cubeba | Galanga | Mel despumatum | Nux moschata | Opopanax | Piper longum | Piper nigrum | Zingiber,55.0,91.7,39.3,31.5,28
f88r,3,Diasatyrion,7,Cardamomum | Crocus | Galanga | Mel despumatum | Nux moschata | Piper longum | Zingiber,53.8,58.3,50.0,15.7,14
f88r,4,Trifera Saracenica,7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,53.8,58.3,50.0,15.7,14
f88r,5,Electuarium Justinum,7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,53.8,58.3,50.0,15.7,14
f88v,1,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,66.7,80.0,57.1,13.5,14
f88v,2,Electuarium Justinum,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,66.7,80.0,57.1,13.5,14
f88v,3,Theriac Abulcasis (contra venenos),8,Crocus | Galbanum | Mel despumatum | Myrrha | Opopanax | Piper longum | Piper nigrum | Zingiber,66.7,80.0,57.1,13.5,14
f88v,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,63.6,70.0,58.3,11.5,12
f88v,5,Paulinum,7,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,60.9,70.0,53.8,12.5,13
f89r,1,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,66.7,80.0,57.1,7.3,14
f89r,2,Electuarium Justinum,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,66.7,80.0,57.1,7.3,14
f89r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,63.6,70.0,58.3,6.2,12
f89r,4,Paulinum,7,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,60.9,70.0,53.8,6.7,13
f89r,5,Theodoricon Euporistum,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,59.3,80.0,47.1,8.8,17
f89v,1,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,7.3,14
f89v,2,Electuarium Justinum,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,7.3,14
f89v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,66.7,77.8,58.3,6.3,12
f89v,4,Paulinum,7,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,63.6,77.8,53.8,6.8,13
f89v,5,Theodoricon Euporistum,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,61.5,88.9,47.1,8.9,17
f90r,1,Philonium Romanum,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,70.6,100.0,54.5,17.5,11
f90r,2,Paulinum,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,63.2,100.0,46.2,20.6,13
f90r,3,Confectio Anacardia,5,Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,62.5,83.3,50.0,15.9,10
f90r,4,Trifera Saracenica,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,60.0,100.0,42.9,22.2,14
f90r,5,Electuarium Justinum,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,60.0,100.0,42.9,22.2,14
f90v,1,Electuarium Diacostum,3,Casia | Mel despumatum | Zingiber,42.9,100.0,27.3,20.8,11
f90v,2,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),3,Casia | Mel despumatum | Zingiber,40.0,100.0,25.0,22.6,12
f90v,3,Antidotum Hadriani,3,Casia | Mel despumatum | Zingiber,40.0,100.0,25.0,22.6,12
f90v,4,Paulinum,3,Casia | Mel despumatum | Zingiber,37.5,100.0,23.1,24.5,13
f90v,5,Trifera Saracenica,3,Casia | Mel despumatum | Zingiber,35.3,100.0,21.4,26.4,14
f93r,1,Paulinum,5,Casia | Mel despumatum | Myrrha | Piper nigrum | Zingiber,52.6,83.3,38.5,15.9,13
f93r,2,Philonium Persicum,6,Casia | Mel despumatum | Myrrha | Piper nigrum | Styrax | Zingiber,50.0,100.0,33.3,22.0,18
f93r,3,Trifera Saracenica,5,Casia | Mel despumatum | Myrrha | Piper nigrum | Zingiber,50.0,83.3,35.7,17.1,14
f93r,4,Electuarium Justinum,5,Casia | Mel despumatum | Myrrha | Piper nigrum | Zingiber,50.0,83.3,35.7,17.1,14
f93r,5,Philonium Romanum,4,Mel despumatum | Myrrha | Piper nigrum | Zingiber,47.1,66.7,36.4,13.4,11
f93v,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,55.6,83.3,41.7,54.5,12
f93v,2,Paulinum,5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,52.6,83.3,38.5,59.1,13
f93v,3,Trifera Saracenica,5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,50.0,83.3,35.7,63.6,14
f93v,4,Electuarium Justinum,5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,50.0,83.3,35.7,63.6,14
f93v,5,Theriac Abulcasis (contra venenos),5,Crocus | Galbanum | Mel despumatum | Piper nigrum | Zingiber,50.0,83.3,35.7,63.6,14
f94r,1,Electuarium de Baccis Lauri,2,Myrrha | Piper longum,30.8,100.0,18.2,19.6,11
f94r,2,Philonium Romanum,2,Myrrha | Piper longum,30.8,100.0,18.2,19.6,11
f94r,3,Theriac Diatessaron,1,Myrrha,28.6,50.0,20.0,8.9,5
f94r,4,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),1,Myrrha,28.6,50.0,20.0,8.9,5
f94r,5,Antidotum Hadriani,2,Myrrha | Piper longum,28.6,100.0,16.7,21.4,12
f94v,1,Electuarium de Baccis Lauri,4,Mel despumatum | Myrrha | Piper longum | Zingiber,53.3,100.0,36.4,30.6,11
f94v,2,Philonium Romanum,4,Mel despumatum | Myrrha | Piper longum | Zingiber,53.3,100.0,36.4,30.6,11
f94v,3,Antidotum Hadriani,4,Mel despumatum | Myrrha | Piper longum | Zingiber,50.0,100.0,33.3,33.3,12
f94v,4,Paulinum,4,Mel despumatum | Myrrha | Piper longum | Zingiber,47.1,100.0,30.8,36.1,13
f94v,5,Trifera Saracenica,4,Mel despumatum | Myrrha | Piper longum | Zingiber,44.4,100.0,28.6,38.9,14
f95r,1,Electuarium Justinum,7,Amomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,63.6,87.5,50.0,12.7,14
f95r,2,Theriac Abulcasis (contra venenos),7,Crocus | Mel despumatum | Myrrha | Opopanax | Piper longum | Piper nigrum | Zingiber,63.6,87.5,50.0,12.7,14
f95r,3,Philonium Romanum,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,63.2,75.0,54.5,10.0,11
f95r,4,Paulinum,6,Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,57.1,75.0,46.2,11.8,13
f95r,5,Theodoricon Euporistum,7,Amomum | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,56.0,87.5,41.2,15.5,17
f95v,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),4,Cardamomum | Casia | Crocus | Piper longum,47.1,80.0,33.3,10.9,12
