Folio,Rank,Recipe,F1,N_Overlap,Overlap_Ingredients
f87r,1,Theriac Diatessaron,28.6,1,Mel despumatum
f87r,2,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),28.6,1,Mel despumatum
f87r,3,Itrifal Ustukhudus (Electuario de Espliego),28.6,2,Mel despumatum|Rosa
f87r,4,Diascordium,26.7,2,Mel despumatum|Rosa
f87r,5,Confectio Hamech,23.5,2,Mel despumatum|Rosa
f87v,1,Pillulae Fetidae (Pildoras Fetidas),61.5,4,Bdellium|Galbanum|Myrrha|Opopanax
f87v,2,Unguentum Apostolorum,47.1,4,Bdellium|Galbanum|Myrrha|Opopanax
f87v,3,Theriac Abulcasis (contra venenos),42.1,4,Crocus|Galbanum|Myrrha|Opopanax
f87v,4,Philonium Romanum,25.0,2,Crocus|Myrrha
f87v,5,Trifera Magna,24.2,4,Bdellium|Crocus|Myrrha|Opopanax
f88r,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.2,6,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88r,2,Trifera Magna,51.3,10,Cardamomum|Casia|Crocus|Cubeba|Galanga|Mel despumatum|Nux moschata|Opopanax|Piper longum|Piper nigrum
f88r,3,Suffuf al-Tib (Polvo aromatico de Avicena),50.0,5,Cardamomum|Casia|Crocus|Galanga|Nux moschata
f88r,4,Diasatyrion,48.0,6,Cardamomum|Crocus|Galanga|Mel despumatum|Nux moschata|Piper longum
f88r,5,Trifera Saracenica,48.0,6,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88v,1,Trifera Saracenica,63.6,7,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,2,Electuarium Justinum,63.6,7,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),60.0,6,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f88v,4,Paulinum,57.1,6,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f88v,5,Theodoricon Euporistum,56.0,7,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
