Stem,Ingredient,Confidence,N_Folios,Presence_Pct,Absence_Pct,N_Candidates,Source,Recipes
K1J1,Zingiber,83,38,100.0,66.7,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Diaciminum (Electuario de Comino)|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
K1K2,Zingiber,80,37,100.0,70.0,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Diaciminum (Electuario de Comino)|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
D1A1Q1A3,Zingiber,70,32,100.0,80.0,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
A1Q1K2,Zingiber,68,30,100.0,82.4,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Confectio Hamech|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Magna (Triaca de Andromachus)|Trifera Magna|Trifera Saracenica
D1A1Q2A3,Zingiber,66,28,100.0,84.2,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
K1J1A1B1,Zingiber,65,27,100.0,85.0,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
B2,Zingiber,65,27,100.0,85.0,1,UNIQUE,Aurea Alexandrina|Diaciminum (Electuario de Comino)|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
D1A1Q1,Zingiber,64,26,100.0,85.7,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
C1,Zingiber,64,26,100.0,85.7,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
K1A1B1,Zingiber,64,25,100.0,86.4,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Confectio Hamech|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Magna (Triaca de Andromachus)|Trifera Magna|Trifera Saracenica
B1,Zingiber,64,25,100.0,86.4,1,UNIQUE,Aurea Alexandrina|Diaciminum (Electuario de Comino)|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
A1B2A3,Zingiber,63,24,100.0,87.0,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
Q1A3,Zingiber,63,24,100.0,87.0,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
D1A1Q1J1,Zingiber,62,23,100.0,87.5,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
A1Q2K2B1,Zingiber,62,22,100.0,88.0,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Confectio Hamech|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
D1A1Q1A1,Zingiber,62,22,100.0,88.0,1,UNIQUE,Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
B1A1,Zingiber,62,21,100.0,88.5,1,UNIQUE,Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
K1J1Ba,Zingiber,62,21,100.0,88.5,1,UNIQUE,Antidotum Hadriani|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
K1B1,Zingiber,61,19,100.0,89.3,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
K1J1A1B1A3,Zingiber,60,18,100.0,89.7,1,UNIQUE,Aurea Alexandrina|Confectio Hamech|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Magna (Triaca de Andromachus)|Trifera Magna|Trifera Saracenica
A1A3,Zingiber,60,18,100.0,89.7,1,UNIQUE,Antidotum Hadriani|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
Aa,Zingiber,60,18,100.0,89.7,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
A1B2Q1A3,Zingiber,60,18,100.0,89.7,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
D1A1B1A3,Zingiber,60,17,100.0,90.0,1,UNIQUE,Antidotum Hadriani|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
D1A1Q2,Zingiber,60,16,100.0,90.3,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Confectio Hamech|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
A2Q1K2,Zingiber,60,16,100.0,90.3,1,UNIQUE,Antidotum Hadriani|Electuarium de Baccis Lauri|Mithridatium|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
A2Q1A3,Zingiber,59,15,100.0,90.6,1,UNIQUE,Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
D1A1Q1K1,Zingiber,59,15,100.0,90.6,1,UNIQUE,Antidotum Hadriani|Aurea Alexandrina|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
A3C1A3,Zingiber,59,15,100.0,90.6,1,UNIQUE,Antidotum Hadriani|Electuarium de Baccis Lauri|Mithridatium|Theodoricon Euporistum|Theriac Abulcasis (contra venenos)|Trifera Magna|Trifera Saracenica
K1A1U1,Zingiber,59,14,100.0,90.9,1,UNIQUE,Aurea Alexandrina|Diaciminum (Electuario de Comino)|Electuarium de Baccis Lauri|Mithridatium|Philonium Persicum|Theodoricon Euporistum|Trifera Magna|Trifera Saracenica
