Folio_Receta,Total_Palabras,N_Ingredientes_Exclusivos,N_Ingredientes_Genericos,N_Acciones_A2,Ratio_Exclusivos_%,Ratio_Genericos_%,Ratio_Acciones_%,Lista_Exclusivos_Top5,Lista_Genericos_Top5,Etiquetas_Dominantes
f87r,97,3,12,31,3.1,26.8,32.0,Q1J1A1B1A3(1) | Q1A1(1) | A1Q1J1A1(1),B1A3(5) | K1J1A1(4) | C2A3(3) | K1A1(3) | L1A1(3),A2:31 | B2:17 | C1:12 | G1:12
f87v,56,4,8,24,7.1,17.9,42.9,K1K2A1(1) | D1A1Q1A1B1A3(1) | AbQ1A3(1) | BaA3(1),K1J1A1(2) | C2A3(2) | B1A3(1) | A1Q2A1(1) | Q1K1A1(1),A2:24 | B2:8 | C1:6 | C2:5
f88r,148,14,14,37,11.5,31.8,25.0,D1A1Q1J1A1(3) | BaA3(2) | U2J1A1(1) | A1Q2A3(1) | A1Q1J1A1(1),K1J1A1(12) | K1A1(8) | D1A1Q1A1(6) | C2A3(5) | B1A3(4),B2:45 | A2:37 | C1:31 | B3:13
f88v,137,7,12,60,5.8,18.2,43.8,BaA3(2) | D1A1Q1J1A1(1) | A2L1J1A1(1) | K1K2A1(1) | A1B2A3(1),B1A3(8) | K1J1A1(5) | L1J1A1(3) | B1L1A1(1) | L1A1(1),A2:60 | B2:17 | G1:16 | C1:14
f89r,353,13,23,113,9.3,27.5,32.0,BaA3(11) | D1A1Q1J1A1(5) | A1Q1J1A1(3) | K1A1B1A3(2) | D1A1Q1K2A1(2),B1A3(31) | K1A1(13) | K1J1A1(11) | L1J1A1(5) | B1A1(5),A2:113 | B2:83 | G1:47 | C1:26
f89v,328,19,24,91,13.4,27.7,27.7,BaA3(15) | A1Q2A3(5) | A1Q1J1A1(5) | K1J1Q1A3(3) | K1A1B1A3(2),B1A3(26) | K1A1(8) | C2A3(6) | A1Q1A1(6) | A1Q1A3(6),A2:91 | B2:56 | C1:49 | G1:47
f90r,99,3,18,23,6.1,33.3,23.2,D1A1Q1J1A1(4) | A2L1A1(1) | Q1A1(1),B1A3(4) | L1J1A1(3) | A1Q1A3(3) | K1A1(3) | D1A1Q1A1(3),A2:23 | C1:19 | B2:17 | A1:11
f90v,104,8,12,33,8.7,24.0,31.7,D1A1Q1J1A1(2) | U2J1A1(1) | K1K2A1(1) | K1A1B1A3(1) | Q2L1A1(1),L1J1A1(7) | C2A3(3) | K1J1A1(3) | B1A3(3) | K1A1(2),A2:33 | B2:23 | C2:14 | C1:11
f93r,144,5,20,27,4.9,29.9,18.8,B2A1(2) | K1A1B1A3(2) | A2K1A3(1) | A1Q1J1A1(1) | A1Q2J1A1(1),B1A3(6) | B1A1(4) | D1A1Q1A1(4) | L1A1(4) | K1A1(3),B2:40 | A2:27 | C1:17 | C2:14
f93v,60,3,11,25,5.0,21.7,41.7,Q2K1A1B1A3(1) | U2J1A1(1) | K1K2A1(1),D1A1Q2K1A1(2) | U1A1(2) | C2A1(1) | L1A1(1) | D1A1Q1K1A1(1),A2:25 | B2:16 | C2:4 | A1:3
f94r,72,7,13,26,11.1,30.6,36.1,A1Q2A3(2) | A1P1A3(1) | Q1J1A1B1A3(1) | A1B2A3(1) | Q2A1B1A3(1),A1Q1A3(4) | B1A3(3) | D1A1Q1A3(3) | Q1A3(2) | A2Q1A3(2),A2:26 | C1:14 | G1:13 | B2:8
f94v,63,5,8,29,11.1,17.5,46.0,A1Q2A3(3) | BaA3(1) | K1BaA3(1) | A2Q2A3(1) | Q2A1B1A3(1),A1Q1A3(2) | D1A1Q1A3(2) | B1A3(2) | K1A3(1) | D1A1Q2A3(1),A2:29 | G1:10 | C1:8 | B2:8
f95r,181,8,18,73,9.9,23.2,40.3,K1J1Q1A3(5) | A1Q2A3(4) | K1Q1A3(3) | BaA3(2) | Q1A1(1),A1Q1A3(9) | D1A1Q1A3(8) | B1A3(4) | Q1A3(3) | K1A1(3),A2:73 | C1:30 | G1:30 | B2:23
f95v,164,7,12,61,8.5,19.5,37.2,A1Q2A3(6) | BaA3(3) | A1B2A1(1) | Q2L1A1(1) | K1BaA3(1),A1Q1A3(6) | D1A1Q1A3(6) | B1A3(5) | L1A1(3) | Q2A3(3),A2:61 | C1:26 | G1:25 | F1:18
f96r,77,8,11,21,10.4,24.7,27.3,K1K2A1(1) | Q2A1A3(1) | K1A1B1A3(1) | D1A1Q1J1A1(1) | B2A1(1),K1A1(5) | L1J1A1(3) | Q2A1(2) | K1J1A1(2) | A2Q2A1(1),A2:21 | C1:20 | B2:20 | G1:5
f96v,46,2,5,16,4.3,13.0,34.8,U2J1A1(1) | BaA3(1),C2A1(2) | A1B1A3(1) | K1A3(1) | C2A3(1) | K1J1A1(1),A2:16 | C1:14 | C2:5 | B2:5
f99r,191,7,19,75,9.4,18.3,39.3,A1Q1J1A1(6) | BaA3(6) | A1B2A3(2) | Q2L1A1(1) | D1A1Q1K2A1(1),B1A3(5) | L1J1A1(4) | K1A1(4) | U1A1(3) | C2A3(2),A2:75 | B2:45 | C1:24 | G1:15
f99v,152,9,15,49,12.5,19.1,32.2,D1A1Q1J1A1(5) | A1Q1J1A1(5) | A1Q2A3(2) | D1A1Q1K2A1(2) | A1P1A3(1),B1A3(6) | A1Q1A1(6) | D1A1Q1A1(4) | K1A1(2) | C2A1(1),B2:53 | A2:49 | G1:19 | C1:14
f100r,105,8,8,28,8.6,22.9,26.7,T1A1(2) | BaA3(1) | D1A1Q1J1A1(1) | A1Q2A3(1) | D1A1Q1K2A1(1),K1A1(9) | L1A1(4) | L1J1A1(3) | K1J1A1(3) | C2A3(2),B2:31 | A2:28 | C1:12 | A1:8
f100v,91,3,8,30,7.7,20.9,33.0,D1A1Q1J1A1(3) | A1Q1J1A1(3) | K1K2A1(1),K1A1(7) | B1A3(3) | K1J1A1(2) | A1Q1A1(2) | C2A3(2),A2:30 | B2:24 | C1:14 | C2:7
