Stem,In_Zing_Folios,In_NonZing_Folios,Total_Folios,Rate_Zing,Rate_NonZing,LogOR,Atoms,Length
A1Q2A3B2,6,0,6,0.1429,0.0,3.0,A1|Q2|A3|B2,4
L1A1U1,5,0,5,0.119,0.0,3.0,L1|A1|U1,3
L1J1A1Q1,5,0,5,0.119,0.0,3.0,L1|J1|A1|Q1,4
A1B2B1,5,0,5,0.119,0.0,3.0,A1|B2|B1,3
K1J1A1B1,27,0,27,0.6429,0.0,3.0,K1|J1|A1|B1,4
B1A3C1,5,0,5,0.119,0.0,3.0,B1|A3|C1,3
L1J1A3,13,0,13,0.3095,0.0,3.0,L1|J1|A3,3
K1J1A3,15,0,15,0.3571,0.0,3.0,K1|J1|A3,3
A1B2Q1K2,16,0,16,0.381,0.0,3.0,A1|B2|Q1|K2,4
A1A3,18,0,18,0.4286,0.0,3.0,A1|A3,2
A1P2A3,5,0,5,0.119,0.0,3.0,A1|P2|A3,3
Aa,17,0,17,0.4048,0.0,3.0,Aa,1
A1C2A3,4,0,4,0.0952,0.0,3.0,A1|C2|A3,3
A2Q1J1A1,7,0,7,0.1667,0.0,3.0,A2|Q1|J1|A1,4
A1Q2A1C1A3,4,0,4,0.0952,0.0,3.0,A1|Q2|A1|C1|A3,5
A2K1J1,12,0,12,0.2857,0.0,3.0,A2|K1|J1,3
D1A1A1,7,0,7,0.1667,0.0,3.0,D1|A1|A1,3
A2Q1A3,15,0,15,0.3571,0.0,3.0,A2|Q1|A3,3
B1A1,20,0,20,0.4762,0.0,3.0,B1|A1,2
K1A1Q1A1,4,0,4,0.0952,0.0,3.0,K1|A1|Q1|A1,4
B1K1J1,6,0,6,0.1429,0.0,3.0,B1|K1|J1,3
Q2J1A1,11,0,11,0.2619,0.0,3.0,Q2|J1|A1,3
K1J1A1Q1A3,7,0,7,0.1667,0.0,3.0,K1|J1|A1|Q1|A3,5
A1Q1J1A3,11,0,11,0.2619,0.0,3.0,A1|Q1|J1|A3,4
A2Q1K2A1,9,0,9,0.2143,0.0,3.0,A2|Q1|K2|A1,4
K1A1U2J1,3,0,3,0.0714,0.0,3.0,K1|A1|U2|J1,4
K1K2B1,15,0,15,0.3571,0.0,3.0,K1|K2|B1,3
Q1K2A1,10,0,10,0.2381,0.0,3.0,Q1|K2|A1,3
D1A1Q1J1A1Ba,5,0,5,0.119,0.0,3.0,D1|A1|Q1|J1|A1|Ba,6
D1A1Q2A1B1,5,0,5,0.119,0.0,3.0,D1|A1|Q2|A1|B1,5
