Folio,Zingiber_F1,Zingiber_Recipe,Mel_F1,Mel_Recipe,Verdict
f100r,33.3,Benedicta Laxativa,37.5,Hiera Picra (Hiera de Galeno),TIED
f100v,15.4,Electuarium de Succo Rosarum,20.0,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),TIED
f101r,28.6,Benedicta Laxativa,42.1,Hiera Picra (Hiera de Galeno),MEL
f101v,31.6,Benedicta Laxativa,40.0,Theriac Diatessaron Magna,MEL
f102r,20.0,Benedicta Laxativa,33.3,Hiera Picra (Hiera de Galeno),MEL
f102v,21.1,Benedicta Laxativa,35.3,Hiera Picra (Hiera de Galeno),MEL
f103r,11.8,Benedicta Laxativa,20.0,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f103v,22.2,Benedicta Laxativa,28.6,Theriac Diatessaron Magna,MEL
f104r,21.1,Benedicta Laxativa,33.3,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f104v,21.1,Benedicta Laxativa,35.3,Hiera Picra (Hiera de Galeno),MEL
f105r,30.0,Benedicta Laxativa,44.4,Hiera Picra (Hiera de Galeno),MEL
f105v,10.5,Benedicta Laxativa,16.7,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f106r,30.0,Benedicta Laxativa,33.3,Hiera Picra (Hiera de Galeno),TIED
f106v,11.1,Benedicta Laxativa,25.0,Hiera Picra (Hiera de Galeno),MEL
f107r,23.5,Benedicta Laxativa,30.8,Theriac Diatessaron Magna,MEL
f107v,20.0,Benedicta Laxativa,33.3,Hiera Picra (Hiera de Galeno),MEL
f108r,10.0,Benedicta Laxativa,22.2,Hiera Picra (Hiera de Galeno),MEL
f108v,21.1,Benedicta Laxativa,35.3,Hiera Picra (Hiera de Galeno),MEL
f111r,10.0,Benedicta Laxativa,22.2,Hiera Picra (Hiera de Galeno),MEL
f111v,20.0,Benedicta Laxativa,33.3,Hiera Picra (Hiera de Galeno),MEL
f112r,21.1,Benedicta Laxativa,35.3,Hiera Picra (Hiera de Galeno),MEL
f112v,21.1,Benedicta Laxativa,35.3,Hiera Picra (Hiera de Galeno),MEL
f113r,17.4,Benedicta Laxativa,28.6,Hiera Picra (Hiera de Galeno),MEL
f113v,27.3,Benedicta Laxativa,40.0,Hiera Picra (Hiera de Galeno),MEL
f114r,30.0,Benedicta Laxativa,37.5,Theriac Diatessaron Magna,MEL
f114v,20.0,Benedicta Laxativa,25.0,Theriac Diatessaron Magna,MEL
f115r,9.5,Benedicta Laxativa,21.1,Hiera Picra (Hiera de Galeno),MEL
f115v,27.3,Benedicta Laxativa,33.3,Theriac Diatessaron Magna,MEL
f116r,10.0,Benedicta Laxativa,22.2,Hiera Picra (Hiera de Galeno),MEL
f116v,0.0,,0.0,,INSUFFICIENT
f87r,20.0,Electuarium de Succo Rosarum,28.6,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f87v,0.0,,20.0,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f88r,19.0,Benedicta Laxativa,31.6,Hiera Picra (Hiera de Galeno),MEL
f88v,20.0,Benedicta Laxativa,33.3,Hiera Picra (Hiera de Galeno),MEL
f89r,18.2,Benedicta Laxativa,30.0,Hiera Picra (Hiera de Galeno),MEL
f89v,20.0,Benedicta Laxativa,33.3,Hiera Picra (Hiera de Galeno),MEL
f90r,16.7,Electuarium de Succo Rosarum,44.4,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f90v,33.3,Benedicta Laxativa,50.0,Hiera Picra (Hiera de Galeno),MEL
f93r,15.4,Electuarium de Succo Rosarum,40.0,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f93v,21.1,Benedicta Laxativa,35.3,Hiera Picra (Hiera de Galeno),MEL
f94r,0.0,,28.6,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f94v,25.0,Benedicta Laxativa,44.4,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f95r,20.0,Benedicta Laxativa,30.8,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),MEL
f95v,12.5,Benedicta Laxativa,28.6,Hiera Picra (Hiera de Galeno),MEL
f96r,22.2,Benedicta Laxativa,25.0,Hiera Picra (Hiera de Galeno),TIED
f96v,15.4,Benedicta Laxativa,18.2,Hiera Picra (Hiera de Galeno),TIED
f99r,23.5,Benedicta Laxativa,40.0,Hiera Picra (Hiera de Galeno),MEL
f99v,28.6,Electuarium de Succo Rosarum,28.6,Theriac Diatessaron Magna,TIED
